,AYB,YR_RMDL,EYB,SALEDATE,GIS_LAST_MOD_DTTM
359,1890.0,,1954,1992-09-18 00:00:00,2018-07-22 18:01:43
360,1885.0,2016.0,1972,2017-12-21 00:00:00,2018-07-22 18:01:43
361,1920.0,2008.0,1987,2005-01-18 00:00:00,2018-07-22 18:01:43
362,1886.0,2006.0,1972,1996-07-23 00:00:00,2018-07-22 18:01:43
368,1885.0,,1963,2017-11-13 00:00:00,2018-07-22 18:01:43
369,1885.0,,1963,2017-02-02 00:00:00,2018-07-22 18:01:43
370,1885.0,2014.0,1969,2013-02-20 00:00:00,2018-07-22 18:01:43
373,1879.0,2011.0,1972,2014-12-08 00:00:00,2018-07-22 18:01:43
374,1891.0,1992.0,1984,2015-10-01 00:00:00,2018-07-22 18:01:43
376,1920.0,,1972,2003-02-24 00:00:00,2018-07-22 18:01:43
378,1885.0,,1963,2009-06-22 00:00:00,2018-07-22 18:01:43
380,1885.0,2018.0,1972,2015-05-13 00:00:00,2018-07-22 18:01:43
384,1900.0,2007.0,1969,2017-05-01 00:00:00,2018-07-22 18:01:43
385,1900.0,2003.0,1969,2002-01-09 00:00:00,2018-07-22 18:01:43
386,1900.0,1960.0,1950,2003-11-25 00:00:00,2018-07-22 18:01:43
389,1957.0,1995.0,1978,2012-09-12 00:00:00,2018-07-22 18:01:43
390,1950.0,1997.0,1966,2015-04-03 00:00:00,2018-07-22 18:01:43
393,1960.0,2007.0,1978,2007-07-26 00:00:00,2018-07-22 18:01:43
394,1960.0,2003.0,1978,2014-07-14 00:00:00,2018-07-22 18:01:43
395,1960.0,2000.0,1971,1995-08-30 00:00:00,2018-07-22 18:01:43
396,1960.0,2000.0,1973,1999-08-24 00:00:00,2018-07-22 18:01:43
397,1900.0,1959.0,1957,2012-12-18 00:00:00,2018-07-22 18:01:43
398,1900.0,2009.0,1967,2012-08-14 00:00:00,2018-07-22 18:01:43
402,1980.0,,1995,2004-10-19 00:00:00,2018-07-22 18:01:43
403,1980.0,2000.0,1989,2003-04-10 00:00:00,2018-07-22 18:01:43
404,1980.0,2000.0,1993,2011-05-25 00:00:00,2018-07-22 18:01:43
412,1950.0,2000.0,1963,2015-08-19 00:00:00,2018-07-22 18:01:43
414,1976.0,2012.0,1989,2013-04-02 00:00:00,2018-07-22 18:01:43
419,1926.0,2008.0,1964,2008-04-14 00:00:00,2018-07-22 18:01:43
420,1907.0,,1963,2005-05-09 00:00:00,2018-07-22 18:01:43
421,1907.0,2016.0,1972,2016-08-23 00:00:00,2018-07-22 18:01:43
422,1907.0,2014.0,1972,2011-01-31 00:00:00,2018-07-22 18:01:43
423,1910.0,,1963,1994-01-11 00:00:00,2018-07-22 18:01:43
425,1910.0,,1963,2016-10-28 00:00:00,2018-07-22 18:01:43
426,1910.0,,1963,2017-10-05 00:00:00,2018-07-22 18:01:43
427,1909.0,2008.0,1972,2005-12-20 00:00:00,2018-07-22 18:01:43
428,1909.0,2007.0,1984,2008-01-15 00:00:00,2018-07-22 18:01:43
430,1910.0,2008.0,1963,2008-02-13 00:00:00,2018-07-22 18:01:43
432,1910.0,,1963,1996-01-19 00:00:00,2018-07-22 18:01:43
433,1907.0,,1954,2002-04-24 00:00:00,2018-07-22 18:01:43
436,1910.0,2008.0,1972,2014-02-20 00:00:00,2018-07-22 18:01:43
441,1900.0,2003.0,1972,2012-01-06 00:00:00,2018-07-22 18:01:43
444,1900.0,2004.0,1972,2018-02-07 00:00:00,2018-07-22 18:01:43
445,1900.0,2011.0,1967,2014-03-14 00:00:00,2018-07-22 18:01:43
446,1900.0,2004.0,1967,2013-07-22 00:00:00,2018-07-22 18:01:43
448,1900.0,,1957,1996-02-12 00:00:00,2018-07-22 18:01:43
451,1910.0,,1964,2000-06-30 00:00:00,2018-07-22 18:01:43
452,1900.0,2001.0,1967,2007-01-17 00:00:00,2018-07-22 18:01:43
453,1900.0,,1967,2006-02-06 00:00:00,2018-07-22 18:01:43
455,1900.0,2015.0,1957,1994-03-31 00:00:00,2018-07-22 18:01:43
456,1900.0,2012.0,1967,2009-04-28 00:00:00,2018-07-22 18:01:43
457,1895.0,2006.0,1969,2015-06-26 00:00:00,2018-07-22 18:01:43
458,1895.0,2000.0,1969,2017-04-28 00:00:00,2018-07-22 18:01:43
460,1895.0,2005.0,1972,2011-08-04 00:00:00,2018-07-22 18:01:43
462,1895.0,1978.0,1960,2001-07-10 00:00:00,2018-07-22 18:01:43
463,1895.0,,1960,2008-10-08 00:00:00,2018-07-22 18:01:43
464,1895.0,1990.0,1969,2014-01-16 00:00:00,2018-07-22 18:01:43
468,1895.0,2010.0,1969,2008-07-11 00:00:00,2018-07-22 18:01:43
470,1895.0,1996.0,1960,2010-03-03 00:00:00,2018-07-22 18:01:43
471,1908.0,2010.0,1967,2015-11-03 00:00:00,2018-07-22 18:01:43
472,1908.0,2008.0,1967,2008-11-21 00:00:00,2018-07-22 18:01:43
473,1908.0,2008.0,1967,2008-12-22 00:00:00,2018-07-22 18:01:43
474,1908.0,2008.0,1967,2009-08-27 00:00:00,2018-07-22 18:01:43
475,1908.0,2005.0,1967,2006-05-18 00:00:00,2018-07-22 18:01:43
476,1908.0,2009.0,1967,2010-08-16 00:00:00,2018-07-22 18:01:43
477,1908.0,2007.0,1967,2010-12-02 00:00:00,2018-07-22 18:01:43
479,1908.0,2005.0,1967,2013-06-06 00:00:00,2018-07-22 18:01:43
480,1890.0,2009.0,1967,2013-10-03 00:00:00,2018-07-22 18:01:43
481,1895.0,2008.0,1986,2016-10-24 00:00:00,2018-07-22 18:01:43
484,1890.0,,1960,1999-09-07 00:00:00,2018-07-22 18:01:43
485,1890.0,2010.0,1957,2016-04-20 00:00:00,2018-07-22 18:01:43
486,1900.0,2008.0,1960,2018-06-26 00:00:00,2018-07-22 18:01:43
487,1890.0,2000.0,1995,2012-09-20 00:00:00,2018-07-22 18:01:43
490,1890.0,,1960,1994-08-05 00:00:00,2018-07-22 18:01:43
494,1900.0,2009.0,1964,2015-07-29 00:00:00,2018-07-22 18:01:43
495,1885.0,2012.0,1986,2015-06-05 00:00:00,2018-07-22 18:01:43
497,1885.0,,1972,2006-11-22 00:00:00,2018-07-22 18:01:43
499,1875.0,,1954,1992-09-29 00:00:00,2018-07-22 18:01:43
500,1875.0,,1954,2011-07-20 00:00:00,2018-07-22 18:01:43
501,1873.0,2007.0,1964,2010-08-26 00:00:00,2018-07-22 18:01:43
502,1875.0,2013.0,1969,1999-02-18 00:00:00,2018-07-22 18:01:43
503,1980.0,2008.0,1993,2003-11-10 00:00:00,2018-07-22 18:01:43
504,1880.0,1996.0,1969,2013-12-05 00:00:00,2018-07-22 18:01:43
505,1875.0,2005.0,1969,2017-05-19 00:00:00,2018-07-22 18:01:43
506,1875.0,,1969,2001-08-10 00:00:00,2018-07-22 18:01:43
507,1900.0,,1950,1997-05-16 00:00:00,2018-07-22 18:01:43
509,1895.0,2011.0,1969,2011-08-01 00:00:00,2018-07-22 18:01:43
510,1996.0,,2004,2009-08-17 00:00:00,2018-07-22 18:01:43
512,1996.0,,2004,2006-07-27 00:00:00,2018-07-22 18:01:43
